Date,Price
2020-08-31,149.596923828125
2020-09-01,148.42202758789062
2020-09-02,149.42909240722656
2020-09-03,148.21469116210938
2020-09-04,145.6378173828125
2020-09-08,139.96080017089844
2020-09-09,139.55601501464844
2020-09-10,136.0806884765625
2020-09-11,145.5292205810547
2020-09-14,144.9862060546875
2020-09-15,143.42625427246094
2020-09-16,146.06236267089844
2020-09-17,148.67872619628906
2020-09-18,147.28662109375
2020-09-21,142.07363891601562
2020-09-22,141.78732299804688
2020-09-23,137.6603546142578
2020-09-24,137.7196044921875
2020-09-25,139.42764282226562
2020-09-28,141.31341552734375
2020-09-29,139.41778564453125
2020-09-30,138.963623046875
2020-10-01,138.20338439941406
2020-10-02,142.30072021484375
2020-10-05,144.4629364013672
2020-10-06,145.2626495361328
2020-10-07,146.06236267089844
2020-10-08,147.74078369140625
2020-10-09,148.0764617919922
2020-10-12,147.55319213867188
2020-10-13,146.57577514648438
2020-10-14,149.60679626464844
2020-10-15,145.67730712890625
2020-10-16,146.12159729003906
2020-10-19,145.0948028564453
2020-10-20,145.8253936767578
2020-10-21,147.622314453125
2020-10-22,150.29791259765625
2020-10-23,150.88043212890625
2020-10-26,147.80990600585938
2020-10-27,144.65049743652344
2020-10-28,139.66461181640625
2020-10-29,141.1554412841797
2020-10-30,145.6082000732422
2020-11-02,147.60255432128906
2020-11-03,154.90863037109375
2020-11-04,148.8070831298828
2020-11-05,149.88323974609375
2020-11-06,150.78170776367188
2020-11-09,153.99044799804688
2020-11-10,159.48974609375
2020-11-11,156.03416442871094
2020-11-12,156.51795959472656
2020-11-13,161.9283905029297
2020-11-16,161.1879119873047
2020-11-17,160.75350952148438
2020-11-18,160.95095825195312
2020-11-19,160.1512451171875
2020-11-20,156.72528076171875
2020-11-23,163.01443481445312
2020-11-24,168.7013397216797
2020-11-25,164.52679443359375
2020-11-27,163.53285217285156
2020-11-30,159.2191619873047
2020-12-01,163.4235076904297
2020-12-02,162.18109130859375
2020-12-03,162.73768615722656
2020-12-04,166.6737060546875
2020-12-07,169.0094451904297
2020-12-08,170.55006408691406
2020-12-09,172.38885498046875
2020-12-10,173.40267944335938
2020-12-11,176.62303161621094
2020-12-14,173.9195098876953
2020-12-15,175.00291442871094
2020-12-16,173.5616912841797
2020-12-17,169.4368438720703
2020-12-18,168.5919952392578
2020-12-21,164.26837158203125
2020-12-22,162.6383056640625
2020-12-23,165.5406036376953
2020-12-24,164.39756774902344
2020-12-28,165.8785400390625
2020-12-29,165.5704345703125
2020-12-30,167.51853942871094
2020-12-31,169.44677734375
2021-01-04,163.05575561523438
2021-01-05,164.55661010742188
2021-01-06,169.94375610351562
2021-01-07,168.71127319335938
2021-01-08,168.06521606445312
2021-01-11,168.17454528808594
2021-01-12,171.1663055419922
2021-01-13,170.26182556152344
2021-01-14,170.9774627685547
2021-01-15,170.4307861328125
2021-01-19,169.5362548828125
2021-01-20,167.4390411376953
2021-01-21,165.8785400390625
2021-01-22,166.62399291992188
2021-01-25,165.50083923339844
2021-01-26,159.90496826171875
2021-01-27,162.21090698242188
2021-01-28,160.96847534179688
2021-01-29,156.37648010253906
2021-02-01,156.81382751464844
2021-02-02,158.65260314941406
2021-02-03,160.2230224609375
2021-02-04,160.27273559570312
2021-02-05,162.9066619873047
2021-02-08,164.01988220214844
2021-02-09,166.20654296875
2021-02-10,166.7532196044922
2021-02-11,169.49649047851562
2021-02-12,175.0625457763672
2021-02-16,174.0984344482422
2021-02-17,177.3386688232422
2021-02-18,177.34860229492188
2021-02-19,181.02618408203125
2021-02-22,189.48460388183594
2021-02-23,185.29017639160156
2021-02-24,186.9600067138672
2021-02-25,183.22999572753906
2021-02-26,175.91000366210938
