Date,Price
2020-08-31,110.91000366210938
2020-09-01,113.9800033569336
2020-09-02,117.08999633789062
2020-09-03,108.05999755859375
2020-09-04,105.87999725341797
2020-09-08,100.44000244140625
2020-09-09,104.33999633789062
2020-09-10,102.22000122070312
2020-09-11,101.51000213623047
2020-09-14,103.2300033569336
2020-09-15,105.2300033569336
2020-09-16,102.55000305175781
2020-09-17,101.1500015258789
2020-09-18,99.76000213623047
2020-09-21,102.0999984741211
2020-09-22,102.83000183105469
2020-09-23,99.72000122070312
2020-09-24,102.12000274658203
2020-09-25,103.72000122070312
2020-09-28,105.25
2020-09-29,105.77999877929688
2020-09-30,106.62999725341797
2020-10-01,108.62999725341797
2020-10-02,105.31999969482422
2020-10-05,107.45999908447266
2020-10-06,105.5199966430664
2020-10-07,108.44000244140625
2020-10-08,109.31999969482422
2020-10-09,111.93000030517578
2020-10-12,115.55999755859375
2020-10-13,116.7699966430664
2020-10-14,116.97000122070312
2020-10-15,115.95999908447266
2020-10-16,115.69000244140625
2020-10-19,113.55999755859375
2020-10-20,112.61000061035156
2020-10-21,111.2300033569336
2020-10-22,109.31999969482422
2020-10-23,112.05000305175781
2020-10-26,109.87999725341797
2020-10-27,109.83999633789062
2020-10-28,107.63999938964844
2020-10-29,110.20999908447266
2020-10-30,109.37000274658203
2020-11-02,110.51000213623047
2020-11-03,113.58999633789062
2020-11-04,120.98999786376953
2020-11-05,124.06999969482422
2020-11-06,125.5
2020-11-09,118.56999969482422
2020-11-10,112.38999938964844
2020-11-11,116.68000030517578
2020-11-12,114.55999755859375
2020-11-13,115.81999969482422
2020-11-16,114.86000061035156
2020-11-17,113.4800033569336
2020-11-18,111.02999877929688
2020-11-19,112.5999984741211
2020-11-20,112.79000091552734
2020-11-23,111.25
2020-11-24,110.73999786376953
2020-11-25,113.04000091552734
2020-11-27,116.58000183105469
2020-11-30,116.30000305175781
2020-12-01,115.6500015258789
2020-12-02,116.43000030517578
2020-12-03,116.68000030517578
2020-12-04,118.33999633789062
2020-12-07,119.0199966430664
2020-12-08,118.41000366210938
2020-12-09,115.48999786376953
2020-12-10,117.44999694824219
2020-12-11,118.5199966430664
2020-12-14,121.30999755859375
2020-12-15,122.81999969482422
2020-12-16,125.4000015258789
2020-12-17,127.30000305175781
2020-12-18,132.02000427246094
2020-12-21,131.72999572753906
2020-12-22,134.3699951171875
2020-12-23,133.05999755859375
2020-12-24,134.0
2020-12-28,134.75999450683594
2020-12-29,133.97999572753906
2020-12-30,135.25
2020-12-31,136.42999267578125
2021-01-04,135.75999450683594
2021-01-05,136.13999938964844
2021-01-06,130.63999938964844
2021-01-07,137.0500030517578
2021-01-08,136.19000244140625
2021-01-11,134.69000244140625
2021-01-12,133.72000122070312
2021-01-13,134.1199951171875
2021-01-14,135.39999389648438
2021-01-15,134.63999938964844
2021-01-19,137.6199951171875
2021-01-20,140.10000610351562
2021-01-21,138.6199951171875
2021-01-22,137.4199981689453
2021-01-25,135.89999389648438
2021-01-26,133.8300018310547
2021-01-27,128.42999267578125
2021-01-28,132.9499969482422
2021-01-29,130.38999938964844
2021-02-01,134.39999389648438
2021-02-02,135.72000122070312
2021-02-03,134.82000732421875
2021-02-04,137.10000610351562
2021-02-05,135.8000030517578
2021-02-08,137.5800018310547
2021-02-09,139.49000549316406
2021-02-10,137.86000061035156
2021-02-11,143.97000122070312
2021-02-12,145.67999267578125
2021-02-16,145.99000549316406
2021-02-17,141.77999877929688
2021-02-18,139.52999877929688
2021-02-19,139.66000366210938
2021-02-22,133.16000366210938
2021-02-23,132.60000610351562
2021-02-24,139.4199981689453
2021-02-25,138.02000427246094
2021-02-26,141.08999633789062
