Date,Price
2020-08-31,426.0688781738281
2020-09-01,435.2646789550781
2020-09-02,442.7051086425781
2020-09-03,428.84161376953125
2020-09-04,421.4211120605469
2020-09-08,392.9161376953125
2020-09-09,398.8504943847656
2020-09-10,394.76123046875
2020-09-11,398.5513000488281
2020-09-14,395.2200622558594
2020-09-15,402.8300476074219
2020-09-16,399.3791198730469
2020-09-17,397.7533874511719
2020-09-18,390.3428649902344
2020-09-21,391.2205810546875
2020-09-22,391.6993408203125
2020-09-23,385.435791015625
2020-09-24,390.18328857421875
2020-09-25,397.0751647949219
2020-09-28,399.5486755371094
2020-09-29,400.3066711425781
2020-09-30,394.07305908203125
2020-10-01,392.4473571777344
2020-10-02,394.6814880371094
2020-10-05,400.6665344238281
2020-10-06,399.36822509765625
2020-10-07,404.4614562988281
2020-10-08,403.13323974609375
2020-10-09,413.8389892578125
2020-10-12,421.2990417480469
2020-10-13,423.196533203125
2020-10-14,426.64190673828125
2020-10-15,429.87762451171875
2020-10-16,433.31304931640625
2020-10-19,424.3349914550781
2020-10-20,422.3077087402344
2020-10-21,420.8995666503906
2020-10-22,426.9515075683594
2020-10-23,428.03009033203125
2020-10-26,417.3343505859375
2020-10-27,394.0752868652344
2020-10-28,367.0113220214844
2020-10-29,370.3169250488281
2020-10-30,370.8462219238281
2020-11-02,380.4334716796875
2020-11-03,382.84027099609375
2020-11-04,388.2330627441406
2020-11-05,385.4867248535156
2020-11-06,387.9035339355469
2020-11-09,389.6911315917969
2020-11-10,400.4468078613281
2020-11-11,400.8163146972656
2020-11-12,390.1305236816406
2020-11-13,395.8629150390625
2020-11-16,407.32763671875
2020-11-17,405.110595703125
2020-11-18,407.82696533203125
2020-11-19,408.9355163574219
2020-11-20,404.72113037109375
2020-11-23,405.1805114746094
2020-11-24,417.9734802246094
2020-11-25,417.9135437011719
2020-11-27,418.24310302734375
2020-11-30,426.4322204589844
2020-12-01,423.4361877441406
2020-12-02,417.45416259765625
2020-12-03,408.6658630371094
2020-12-04,417.3942565917969
2020-12-07,418.4228820800781
2020-12-08,418.5826721191406
2020-12-09,418.9821472167969
2020-12-10,414.44818115234375
2020-12-11,419.89093017578125
2020-12-14,422.32769775390625
2020-12-15,425.3935852050781
2020-12-16,420.2904052734375
2020-12-17,424.4748229980469
2020-12-18,425.623291015625
2020-12-21,421.818359375
2020-12-22,412.3709411621094
2020-12-23,418.9022216796875
2020-12-24,419.56134033203125
2020-12-28,422.5873107910156
2020-12-29,419.04205322265625
2020-12-30,421.25909423828125
2020-12-31,430.5167541503906
2021-01-04,418.9920959472656
2021-01-05,418.6225891113281
2021-01-06,422.8370056152344
2021-01-07,430.5799865722656
2021-01-08,431.1000061035156
2021-01-11,438.5299987792969
2021-01-12,429.989990234375
2021-01-13,413.1499938964844
2021-01-14,407.4100036621094
2021-01-15,411.6199951171875
2021-01-19,414.42999267578125
2021-01-20,420.5199890136719
2021-01-21,421.4100036621094
2021-01-22,419.2200012207031
2021-01-25,419.1099853515625
2021-01-26,417.30999755859375
2021-01-27,420.0
2021-01-28,422.8299865722656
2021-01-29,392.9100036621094
2021-02-01,391.3599853515625
2021-02-02,398.0
2021-02-03,401.69000244140625
2021-02-04,403.75
2021-02-05,404.95001220703125
2021-02-08,407.1600036621094
2021-02-09,403.7300109863281
2021-02-10,401.8500061035156
2021-02-11,400.010009765625
2021-02-12,396.0199890136719
2021-02-16,383.79998779296875
2021-02-17,387.1199951171875
2021-02-18,395.54998779296875
2021-02-19,388.9100036621094
2021-02-22,383.9200134277344
2021-02-23,387.8399963378906
2021-02-24,378.82000732421875
2021-02-25,379.1099853515625
2021-02-26,377.6199951171875
