Date,Price
2020-08-31,206.11920166015625
2020-09-01,208.0259552001953
2020-09-02,209.61325073242188
2020-09-03,200.5686492919922
2020-09-04,196.24598693847656
2020-09-08,195.81671142578125
2020-09-09,201.59689331054688
2020-09-10,202.7449188232422
2020-09-11,204.5218963623047
2020-09-14,207.5767059326172
2020-09-15,208.33541870117188
2020-09-16,206.69821166992188
2020-09-17,206.7980194091797
2020-09-18,205.95945739746094
2020-09-21,205.46031188964844
2020-09-22,206.7980194091797
2020-09-23,204.85134887695312
2020-09-24,203.32394409179688
2020-09-25,206.99095153808594
2020-09-28,209.61878967285156
2020-09-29,210.83779907226562
2020-09-30,215.15428161621094
2020-10-01,214.49481201171875
2020-10-02,212.3265838623047
2020-10-05,218.1718292236328
2020-10-06,218.06190490722656
2020-10-07,221.84881591796875
2020-10-08,220.52989196777344
2020-10-09,225.87551879882812
2020-10-12,225.56578063964844
2020-10-13,225.43588256835938
2020-10-14,226.36512756347656
2020-10-15,225.2360382080078
2020-10-16,227.26438903808594
2020-10-19,223.6473388671875
2020-10-20,226.8447265625
2020-10-21,226.36512756347656
2020-10-22,233.7890625
2020-10-23,232.4701385498047
2020-10-26,234.7183074951172
2020-10-27,239.58432006835938
2020-10-28,231.9105987548828
2020-10-29,229.88226318359375
2020-10-30,229.35267639160156
2020-11-02,232.2503204345703
2020-11-03,234.56842041015625
2020-11-04,240.32373046875
2020-11-05,240.1438751220703
2020-11-06,245.25970458984375
2020-11-09,233.58921813964844
2020-11-10,225.6956787109375
2020-11-11,232.9497528076172
2020-11-12,232.7998809814453
2020-11-13,234.4884796142578
2020-11-16,229.46258544921875
2020-11-17,229.162841796875
2020-11-18,224.51663208007812
2020-11-19,225.64572143554688
2020-11-20,225.5757598876953
2020-11-23,220.89959716796875
2020-11-24,218.08187866210938
2020-11-25,217.04273986816406
2020-11-27,216.6031036376953
2020-11-30,224.4467010498047
2020-12-01,224.81639099121094
2020-12-02,224.61656188964844
2020-12-03,223.15774536132812
2020-12-04,224.24684143066406
2020-12-07,225.96543884277344
2020-12-08,223.31761169433594
2020-12-09,222.65814208984375
2020-12-10,223.02786254882812
2020-12-11,223.56741333007812
2020-12-14,220.91957092285156
2020-12-15,222.98788452148438
2020-12-16,221.7189178466797
2020-12-17,224.3068084716797
2020-12-18,225.9254913330078
2020-12-21,225.97544860839844
2020-12-22,222.74807739257812
2020-12-23,220.3900146484375
2020-12-24,221.49000549316406
2020-12-28,222.75
2020-12-29,222.86000061035156
2020-12-30,220.67999267578125
2020-12-31,222.13999938964844
2021-01-04,223.22999572753906
2021-01-05,228.77000427246094
2021-01-06,236.35000610351562
2021-01-07,239.7100067138672
2021-01-08,243.49000549316406
2021-01-11,244.1199951171875
2021-01-12,240.69000244140625
2021-01-13,239.83999633789062
2021-01-14,236.6999969482422
2021-01-15,236.75
2021-01-19,236.11000061035156
2021-01-20,237.0500030517578
2021-01-21,233.10000610351562
2021-01-22,238.0399932861328
2021-01-25,238.14999389648438
2021-01-26,233.97999572753906
2021-01-27,222.1999969482422
2021-01-28,228.57000732421875
2021-01-29,237.83999633789062
2021-02-01,241.75
2021-02-02,245.08999633789062
2021-02-03,238.22999572753906
2021-02-04,235.52999877929688
2021-02-05,235.58999633789062
2021-02-08,235.64999389648438
2021-02-09,237.0
2021-02-10,237.49000549316406
2021-02-11,240.66000366210938
2021-02-12,245.89999389648438
2021-02-16,242.27000427246094
2021-02-17,239.91000366210938
2021-02-18,237.39999389648438
2021-02-19,231.24000549316406
2021-02-22,225.5
2021-02-23,223.85000610351562
2021-02-24,223.0
2021-02-25,219.25999450683594
2021-02-26,219.6699981689453
