Date,Price
2020-03-02,276.1396789550781
2020-03-03,265.61077880859375
2020-03-04,284.21124267578125
2020-03-05,273.00299072265625
2020-03-06,265.7606201171875
2020-03-09,245.18223571777344
2020-03-10,260.8057861328125
2020-03-11,246.21115112304688
2020-03-12,216.0828094482422
2020-03-13,240.58705139160156
2020-03-16,196.19371032714844
2020-03-17,217.0418243408203
2020-03-18,202.60699462890625
2020-03-19,212.74632263183594
2020-03-20,205.53392028808594
2020-03-23,212.4666290283203
2020-03-24,248.91830444335938
2020-03-25,245.36203002929688
2020-03-26,256.9698181152344
2020-03-27,252.46456909179688
2020-03-30,265.3110656738281
2020-03-31,263.32318115234375
2020-04-01,242.81472778320312
2020-04-02,255.20169067382812
2020-04-03,243.6538543701172
2020-04-06,268.1180725097656
2020-04-07,258.7579345703125
2020-04-08,266.6696472167969
2020-04-09,262.6738586425781
2020-04-13,269.56658935546875
2020-04-14,283.65179443359375
2020-04-15,280.5450439453125
2020-04-16,294.3905029296875
2020-04-17,292.01300048828125
2020-04-20,286.74853515625
2020-04-21,269.22698974609375
2020-04-22,285.8494873046875
2020-04-23,283.71173095703125
2020-04-24,289.285888671875
2020-04-27,296.7679748535156
2020-04-28,291.053955078125
2020-04-29,298.14654541015625
2020-04-30,291.9730529785156
2020-05-01,282.4830017089844
2020-05-04,290.98406982421875
2020-05-05,293.4314880371094
2020-05-06,297.47723388671875
2020-05-07,304.5498046875
2020-05-08,312.1717834472656
2020-05-11,322.2811584472656
2020-05-12,311.772216796875
2020-05-13,310.8731994628906
2020-05-14,320.8826599121094
2020-05-15,339.2733154296875
2020-05-18,349.6424255371094
2020-05-19,351.85009765625
2020-05-20,358.42315673828125
2020-05-21,350.6413879394531
2020-05-22,360.6707763671875
2020-05-26,348.34375
2020-05-27,340.65185546875
2020-05-28,339.12347412109375
2020-05-29,354.64715576171875
2020-06-01,351.88006591796875
2020-06-02,352.6392517089844
2020-06-03,350.4115905761719
2020-06-04,350.4515686035156
2020-06-05,356.5879211425781
2020-06-08,351.9906921386719
2020-06-09,361.62493896484375
2020-06-10,374.44732666015625
2020-06-11,351.6408996582031
2020-06-12,357.0876159667969
2020-06-15,366.73193359375
2020-06-16,362.5244140625
2020-06-17,369.2204284667969
2020-06-18,368.5008544921875
2020-06-19,370.2298278808594
2020-06-22,380.843505859375
2020-06-23,377.77532958984375
2020-06-24,369.200439453125
2020-06-25,379.3743896484375
2020-06-26,365.98236083984375
2020-06-29,367.7812805175781
2020-06-30,379.6842041015625
2020-07-01,380.97344970703125
2020-07-02,384.261474609375
2020-07-06,393.3360900878906
2020-07-07,394.63531494140625
2020-07-08,408.3971252441406
2020-07-09,420.1101379394531
2020-07-10,418.9208984375
2020-07-13,401.85101318359375
2020-07-14,414.8332824707031
2020-07-15,408.84686279296875
2020-07-16,405.1490783691406
2020-07-17,407.8174743652344
2020-07-20,420.1800842285156
2020-07-21,412.89447021484375
2020-07-22,417.30181884765625
2020-07-23,404.9491882324219
2020-07-24,407.5376281738281
2020-07-27,416.6122131347656
2020-07-28,408.37713623046875
2020-07-29,418.3711853027344
2020-07-30,424.3076477050781
2020-07-31,424.337646484375
2020-08-03,440.14825439453125
2020-08-04,448.8430480957031
2020-08-05,451.20166015625
2020-08-06,453.1505126953125
2020-08-07,447.7137451171875
2020-08-10,446.3345642089844
2020-08-11,433.7420349121094
2020-08-12,457.3380126953125
2020-08-13,457.4479675292969
2020-08-14,462.28509521484375
2020-08-17,493.1867370605469
2020-08-18,490.13848876953125
2020-08-19,485.25140380859375
2020-08-20,485.35137939453125
2020-08-21,507.0384826660156
2020-08-24,508.507568359375
2020-08-25,509.6968994140625
2020-08-26,510.6163635253906
2020-08-27,504.82977294921875
2020-08-28,525.597412109375
2020-08-31,534.6619873046875
2020-09-01,552.6767578125
2020-09-02,573.6904907226562
2020-09-03,520.4662475585938
2020-09-04,504.7508850097656
2020-09-08,476.3792419433594
2020-09-09,508.4497985839844
2020-09-10,492.3245544433594
2020-09-11,486.436279296875
2020-09-14,514.7379760742188
2020-09-15,519.486572265625
2020-09-16,500.4321594238281
2020-09-17,498.39276123046875
2020-09-18,487.4259948730469
2020-09-21,500.5421142578125
2020-09-22,505.3607177734375
2020-09-23,484.8067932128906
2020-09-24,493.7741394042969
2020-09-25,514.7979125976562
2020-09-28,521.2460327148438
2020-09-29,528.873779296875
2020-09-30,541.0601196289062
2020-10-01,544.419189453125
2020-10-02,522.335693359375
2020-10-05,545.538818359375
2020-10-06,549.2977294921875
2020-10-07,558.39501953125
2020-10-08,553.386474609375
2020-10-09,550.347412109375
2020-10-12,568.8718872070312
2020-10-13,569.7616577148438
2020-10-14,563.6434936523438
2020-10-15,558.6349487304688
2020-10-16,552.296875
2020-10-19,539.75048828125
2020-10-20,545.6588134765625
2020-10-21,540.8302001953125
2020-10-22,534.2821655273438
2020-10-23,543.449462890625
2020-10-26,525.4947509765625
2020-10-27,535.7117309570312
2020-10-28,504.9308166503906
2020-10-29,520.80615234375
2020-10-30,501.2119140625
2020-11-02,503.0813903808594
2020-11-03,520.626220703125
2020-11-04,551.6070556640625
2020-11-05,566.2327270507812
2020-11-06,582.3079223632812
2020-11-09,545.0689697265625
2020-11-10,510.6491394042969
2020-11-11,536.5614624023438
2020-11-12,538.1110229492188
2020-11-13,531.722900390625
2020-11-16,540.4503173828125
2020-11-17,536.7314453125
2020-11-18,536.9913940429688
2020-11-19,537.4512329101562
2020-11-20,523.3554077148438
2020-11-23,525.4447631835938
2020-11-24,518.1569213867188
2020-11-25,529.233642578125
